ffspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7916666865348816
Offspring = [0, 1, 1, 1, 1, 1, 0, 1], val accuracy = 0.7916666865348816
Offspring = [1, 1, 1, 0, 1, 1, 1, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.75
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.8020833134651184
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7864583134651184
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.8020833134651184
Offspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.7447916865348816
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.8072916865348816
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [0, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.8072916865348816
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7760416865348816
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7864583134651184
Offspring = [1, 1, 0, 1, 0, 1, 1, 1], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7864583134651184
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.734375
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 1, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 0, 1, 1, 1], val accuracy = 0.765625
----------------------- Generation 1---------------------
[0.26406251788139345, 0.23593748211860655, 0.2453125, 0.27656248211860657, 0.26718748211860655, 0.25937499999999997, 0.2671875178813934, 0.2656249821186065, 0.26718748211860655, 0.2453125, 0.26718748211860655, 0.234375, 0.26718748211860655, 0.29218748211860657, 0.275, 0.2406250178813934, 0.275, 0.23593748211860655, 0.25468751788139343, 0.26406251788139345]
-------------Best solution = [1, 1, 0, 0, 0, 1, 0, 0],best score = 0.234375
New best [1, 1, 1, 1, 1, 1, 1, 1] = 0.26406251788139345
New best [1, 1, 0, 0, 1, 1, 1, 0] = 0.23593748211860655
New best [1, 1, 0, 0, 0, 1, 0, 0] = 0.234375
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.734375
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.7864583134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.8020833134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 0], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 0, 1, 1, 0], val accuracy = 0.7916666865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7604166865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.765625
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7864583134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.78125
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.8177083134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7916666865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7708333134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7395833134651184
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.796875
